genus,higher_taxon
Whitfieldella,Brachiopod
Isorthis,Brachiopod
Costistricklandia,Brachiopod
Atrypina,Brachiopod
Salopina,Brachiopod
Amphistrophia,Brachiopod
Coolinia,Brachiopod
Stegerhynchus,Brachiopod
Howellella,Brachiopod
Anastrophia,Brachiopod
Nucleospira,Brachiopod
Plectatrypa,Brachiopod
Plectodonta,Brachiopod
Dicoelosia,Brachiopod
Clorinda,Brachiopod
Cyrtia,Brachiopod
Eodictyonella,Brachiopod
Cyrtina,Brachiopod
Reticularia,Brachiopod
Skenidium,Brachiopod
Trematospira,Brachiopod
Pentamerifera,Brachiopod
Conchidium,Brachiopod
Cymbidium,Brachiopod
Gypidula,Brachiopod
Antirhynchonella,Brachiopod
Morinorhynchus,Brachiopod
Ferganella,Brachiopod
Atrypoidea,Brachiopod
Septatrypa,Brachiopod
Gracianella,Brachiopod
Hedeina,Brachiopod
Delthyris,Brachiopod
Alaskospira,Brachiopod
Uncinulus,Brachiopod
Homoeospira,Brachiopod
Mclearnites,Brachiopod
Dalejina,Brachiopod
Trimerella,Brachiopod
Kirkidium,Brachiopod
Sphaerirhynchia,Brachiopod
Merista,Brachiopod
Hindella,Brachiopod
Rhynchospirina,Brachiopod
Spinatrypa,Brachiopod
Zygatrypa,Brachiopod
Chonetoidea (Aegiria),Brachiopod
Protathyris,Brachiopod
Zygospiraella,Brachiopod
Eospirigerina,Brachiopod
Orthotetes,Brachiopod
Anoplotheca,Brachiopod
Wilsoniella,Brachiopod
Brachyprion,Brachiopod
Schizonema,Brachiopod
Orthostrophia,Brachiopod
Sieberella,Brachiopod
Leptaenisca,Brachiopod
Lissostrophia,Brachiopod
Lissatrypa,Brachiopod
Amsdenina,Brachiopod
Shaleria,Brachiopod
Stricklandia lens ultima,Brachiopod
Atrypa reticularis,Brachiopod
Eospirifer radiatus,Brachiopod
Leptaena rhomboidalis,Brachiopod
Virgiana,Brachiopod
Linoporella,Brachiopod
Productella,Brachiopod
Pugnoides,Brachiopod
Spiriferina,Brachiopod
Orbinaria,Brachiopod
Avonia,Brachiopod
Syringothyris,Brachiopod
Torynifer,Brachiopod
Productus,Brachiopod
Dictyoclostus,Brachiopod
Dimegelasma,Brachiopod
Dielasma,Brachiopod
Tomasina,Brachiopod
Imbrexia,Brachiopod
Brachythyris,Brachiopod
Stenoscisma,Brachiopod
Eumetria,Brachiopod
Echinoconchus,Brachiopod
Platyrachella,Brachiopod
