genus,higher_taxon
Capulus americanus,Gastropod
Mitrella parva,Gastropod
Eoclathurella obesula,Gastropod
Athleta symmetricus,Gastropod
Bittium koeneni,Gastropod
Sinum jacksonense,Gastropod
Terebrifusus,Gastropod
Dolicholatirus leaensis,Gastropod
Vasum humerosum,Gastropod
Lapparia dumosa,Gastropod
Microdrillia,Gastropod
Conus sauridens,Gastropod
Cylichnella bitruncata,Gastropod
Tritiaria jacksonensis,Gastropod
Caricella subangulata,Gastropod
Eoclathurella,Gastropod
Cymatosyrinx dorseyi,Gastropod
Eucheilodon americana,Gastropod
Pseudotoma heilprini,Gastropod
Cordieria ludoviciana,Gastropod
Acteon annectens,Gastropod
Clio simplex,Gastropod
Acrilla unilineata,Gastropod
Calyptraea,Gastropod
Capulus,Gastropod
Solariella cancellata,Gastropod
Tornatellaea lata,Gastropod
Hemisurcula perexilis,Gastropod
Pleurofusia fluctuosa,Gastropod
Abderospira leblanci,Gastropod
Turritella nasuta,Gastropod
Neverita limula,Gastropod
Polinices,Gastropod
Sinum bilix,Gastropod
Athleta petrosa,Gastropod
Ancilla staminea,Gastropod
Retusa galba,Gastropod
Rhizorus conradianus,Gastropod
Patulaxis scrobiculata,Gastropod
Serpulorbis squamulosus,Gastropod
Calyptraphorus velatus,Gastropod
Crepidula lirata,Gastropod
Ficopsis,Gastropod
Phos (Buccitriton),Gastropod
Levifusus mortonii,Gastropod
Levifusus mortoniopsis,Gastropod
Michela trabeatoides,Gastropod
Crepidula,Gastropod
Sinum beatricae,Gastropod
Terebrifusus amoenus,Gastropod
Athleta haleanus,Gastropod
Athleta lisbonensis,Gastropod
Bonellitia parilis,Gastropod
Fusimitra,Gastropod
Eucheilodon reticulata,Gastropod
Gegania antiquata,Gastropod
Ringicula trapaquara,Gastropod
Haustator rina,Gastropod
Calyptraphorus,Gastropod
Crepidula dumosa,Gastropod
Cochlespira,Gastropod
Bathytoma nonplicata,Gastropod
Cochlespira engonata,Gastropod
